iter	Logloss
0	0.6474049198
1	0.6108735329
2	0.5815364484
3	0.5573199373
4	0.5375612306
5	0.5220213133
6	0.5096267257
7	0.499095277
8	0.4904108485
9	0.477198523
10	0.4662648009
11	0.4571708908
12	0.4492222951
13	0.4430007644
14	0.4377626766
15	0.4328536846
16	0.4291673532
17	0.4255840802
18	0.4226093156
19	0.4202512921
20	0.417669092
21	0.4153012427
22	0.4132574183
23	0.4113027415
24	0.4095342838
25	0.4078489725
26	0.4065891753
27	0.4051350273
28	0.4038927205
29	0.402776738
30	0.4016149392
31	0.4005711459
32	0.399480399
33	0.3985962834
34	0.3975307005
35	0.3966588835
36	0.3956629901
37	0.3941484221
38	0.3933960075
39	0.3927145407
40	0.3920447088
41	0.3912969228
42	0.3903791358
43	0.3897538732
44	0.3891172895
45	0.3884098205
46	0.3877282633
47	0.3871871468
48	0.3865911364
49	0.3859283103
50	0.3853401294
51	0.3848130059
52	0.3841568823
53	0.3837449368
54	0.3829530438
55	0.3825030458
56	0.3819441296
57	0.3814637723
58	0.3807402091
59	0.3803366793
60	0.3799169902
61	0.3794769988
62	0.3787143672
63	0.3781572887
64	0.3776956311
65	0.3773279527
66	0.3768762818
67	0.3764506681
68	0.3760737688
69	0.3756950311
70	0.3753684887
71	0.3747306007
72	0.373944274
73	0.3733794076
74	0.373008295
75	0.3725922645
76	0.3723243294
77	0.3719757368
78	0.3716688307
79	0.371375073
80	0.3710682135
81	0.3706940513
82	0.3702381643
83	0.3697603164
84	0.3693850954
85	0.3689803883
86	0.3685277792
87	0.3683356072
88	0.3680026614
89	0.3677363241
90	0.3674805187
91	0.3672073695
92	0.3668001507
93	0.3665910159
94	0.3662718785
95	0.3655690529
96	0.3650475683
97	0.364569385
98	0.3643255806
99	0.3640735254
100	0.3638626326
101	0.3636388572
102	0.3634129264
103	0.3630331316
104	0.36271863
105	0.3623355886
106	0.3620734473
107	0.3618858451
108	0.3614750179
109	0.3611310775
110	0.3608985823
111	0.3604385063
112	0.3602963286
113	0.3600429614
114	0.3597348
115	0.3592732483
116	0.359049138
117	0.3586585851
118	0.3585084235
119	0.3582903062
120	0.3579482585
121	0.3577073122
122	0.3572509636
123	0.3570561747
124	0.356607406
125	0.3563495697
126	0.3560989382
127	0.3559535147
128	0.3556699348
129	0.3554682574
130	0.3552218907
131	0.3549004559
132	0.3544295207
133	0.3542729509
134	0.3539586108
135	0.3536887214
136	0.3533442938
137	0.3532620233
138	0.3530258427
139	0.3525387054
140	0.3522723229
141	0.3520990506
142	0.3519659902
143	0.3518126908
144	0.3514364141
145	0.3512925704
146	0.3509325897
147	0.3503615595
148	0.3500703503
149	0.349611854
150	0.3494197892
151	0.3491772115
152	0.34888269
153	0.3486298819
