iter	Passed	Remaining
0	153	306654
1	308	308186
2	454	302434
3	653	325969
4	811	323623
5	999	332296
6	1151	327918
7	1329	331168
8	1456	322292
9	1633	325092
10	1790	323748
11	1955	323901
12	2114	323191
13	2282	323759
14	2459	325535
15	2614	324241
16	2783	324661
17	2958	325741
18	3146	328112
19	3306	327324
20	3475	327493
21	3656	328785
22	3834	329568
23	4008	330033
24	4187	330802
25	4421	335712
26	4649	339769
27	4862	342493
28	5039	342492
29	5234	343713
30	5382	341852
31	5545	341026
32	5718	340855
33	5862	338986
34	6045	339400
35	6208	338731
36	6355	337189
37	6542	337783
38	6722	338041
39	6878	337051
40	7031	335984
41	7217	336482
42	7388	336253
43	7567	336419
44	7735	336049
45	7894	335331
46	8071	335414
47	8236	334962
48	8417	335156
49	8566	334084
50	8734	333788
51	8857	331798
52	9036	331970
53	9197	331433
54	9363	331134
55	9508	330082
56	9688	330254
57	9845	329653
58	10024	329790
59	10197	329732
60	10362	329395
61	10503	328316
62	10636	327015
63	10806	326904
64	10971	326610
65	11117	325770
66	11273	325238
67	11466	325794
68	11656	326210
69	11841	326493
70	12037	327057
71	12212	327027
72	12378	326768
73	12504	325455
74	12653	324783
75	12789	323787
76	12953	323505
77	13084	322404
78	13245	322093
79	13400	321616
80	13553	321092
81	13714	320787
82	13881	320623
83	14043	320329
84	14199	319906
85	14372	319880
86	14537	319664
87	14701	319415
88	14878	319469
89	15048	319355
90	15210	319080
91	15382	319014
92	15549	318850
93	15718	318715
94	15866	318169
95	16016	317669
96	16189	317614
97	16367	317660
98	16521	317243
99	16685	317021
100	16856	316926
101	17015	316623
102	17188	316562
103	17339	316104
104	17510	316018
105	17695	316181
106	17857	315930
107	18033	315916
108	18203	315811
109	18348	315257
110	18509	314991
111	18653	314451
112	18815	314196
113	18976	313940
114	19148	313877
115	19325	313875
116	19486	313612
117	19667	313683
118	19840	313615
119	20001	313362
120	20168	313200
121	20344	313168
122	20516	313089
123	20680	312880
124	20827	312410
125	20975	311976
126	21133	311677
127	21287	311325
128	21446	311061
129	21609	310848
130	21747	310279
131	21907	310027
132	22094	310158
133	22274	310179
134	22426	309812
135	22584	309537
136	22758	309482
137	22932	309428
138	23100	309277
139	23264	309084
140	23415	308715
141	23582	308565
142	23750	308418
143	23895	307983
144	24062	307830
145	24226	307649
146	24388	307423
147	24559	307330
148	24736	307294
149	24890	306983
150	25069	306973
151	25245	306933
152	25421	306881
153	25604	306918
