epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.6308366656303406,,,,
0,99,,0.5662394762039185,,,,
0,149,,0.5255579948425293,,,,
0,199,,0.5419428944587708,,,,
0,249,,0.5202846527099609,,,,
0,271,,,,0.7365023493766785,0.5186952948570251,0.5186952948570251
0,271,0.7014766931533813,,0.5888501405715942,,,
1,299,,0.5517922639846802,,,,
1,349,,0.5265272259712219,,,,
1,399,,0.49453896284103394,,,,
1,449,,0.525883674621582,,,,
1,499,,0.5171017050743103,,,,
1,543,,,,0.7441985011100769,0.5072650909423828,0.5072650909423828
1,543,0.7343884706497192,,0.5204330682754517,,,
2,549,,0.5066901445388794,,,,
2,599,,0.4920302629470825,,,,
2,649,,0.512614369392395,,,,
2,699,,0.5115607976913452,,,,
2,749,,0.5173828601837158,,,,
2,799,,0.4850151240825653,,,,
2,815,,,,0.74644535779953,0.5022739171981812,0.5022739171981812
2,815,0.7426523566246033,,0.5085210204124451,,,
3,849,,0.510715663433075,,,,
3,899,,0.5021427869796753,,,,
3,949,,0.5213568210601807,,,,
3,999,,0.5268091559410095,,,,
3,1049,,0.4942522644996643,,,,
3,1087,,,,0.7486585974693298,0.49947866797447205,0.49947866797447205
3,1087,0.7461806535720825,,0.5026956796646118,,,
4,1099,,0.5036154985427856,,,,
4,1149,,0.47923359274864197,,,,
4,1199,,0.4921760559082031,,,,
4,1249,,0.4934971332550049,,,,
4,1299,,0.49937042593955994,,,,
4,1349,,0.5218501687049866,,,,
4,1359,,,,0.7490274906158447,0.4989582896232605,0.4989582896232605
4,1359,0.7483184933662415,,0.49933692812919617,,,
5,1399,,0.5257071256637573,,,,
5,1449,,0.5036300420761108,,,,
5,1499,,0.5065403580665588,,,,
5,1549,,0.516689658164978,,,,
5,1599,,0.5130378007888794,,,,
5,1631,,,,0.7500335574150085,0.4976126551628113,0.4976126551628113
5,1631,0.7494826316833496,,0.4977653920650482,,,
6,1649,,0.5081251859664917,,,,
6,1699,,0.5357648134231567,,,,
6,1749,,0.520572304725647,,,,
6,1799,,0.51788729429245,,,,
6,1849,,0.5279847979545593,,,,
6,1899,,0.4879763126373291,,,,
6,1903,,,,0.7511234283447266,0.4968823492527008,0.4968823492527008
6,1903,0.749141275882721,,0.49632778763771057,,,
7,1949,,0.525119423866272,,,,
7,1999,,0.48246002197265625,,,,
7,2049,,0.4970640242099762,,,,
7,2099,,0.4894612729549408,,,,
7,2149,,0.5185748338699341,,,,
7,2175,,,,0.7502515316009521,0.4969591498374939,0.4969591498374939
7,2175,0.7499927878379822,,0.49517303705215454,,,
8,2199,,0.48054611682891846,,,,
8,2249,,0.5065877437591553,,,,
8,2299,,0.49533510208129883,,,,
8,2349,,0.47915321588516235,,,,
8,2399,,0.481777548789978,,,,
8,2447,,,,0.7501509189605713,0.49680501222610474,0.49680501222610474
8,2447,0.7511964440345764,,0.49419108033180237,,,
